Entity,Code,Day,0-17_fully,18-29_fully,25-49_fully,35-44_fully,45-54_fully,50-54_fully,40-49_fully,30-39_fully,25-34_fully,18-24_fully,50-59_fully,55-64_fully,60-69_fully,60-64_fully,55-59_fully,65-69_fully,70-74_fully,75+_fully,80+_fully,75-79_fully,70-79_fully,65-74_fully,12-17_fully,0-9_fully,10-19_fully,20-29_fully,12-15_fully,16-19_fully,5-11_fully,90-99_fully,80-89_fully,0-4_fully,15-17_fully,5-9_fully,10-14_fully
Belgium,BEL,2021-06-04,,,13.84,,,,,,,8.76,23.3,,46.36,,,,,,62.68,,63.06,,,,,,,,,,,,,,
Belgium,BEL,2021-06-11,,,16.91,,,,,,,10,32.55,,60.74,,,,,,73.59,,67.48,,,,,,,,,,,,,,
Belgium,BEL,2021-06-18,,,20.97,,,,,,,11.15,39.16,,64.86,,,,,,80.96,,70.76,,,,,,,,,,,,,,
Belgium,BEL,2021-06-25,,,24.6,,,,,,,14.14,44.53,,67.17,,,,,,84.61,,73.36,,,,,,,,,,,,,,
Belgium,BEL,2021-07-02,,,28.24,,,,,,,16.37,48.48,,70.85,,,,,,86.28,,77.59,,,,,,,,,,,,,,
Belgium,BEL,2021-07-09,,,34.93,,,,,,,19.34,59.61,,79.7,,,,,,87.32,,90.32,,,,,,,,,,,,,,
Belgium,BEL,2021-07-16,,,42.87,,,,,,,23.35,73.42,,84.2,,,,,,87.84,,92.86,,,,,,,,,,,,,,
Belgium,BEL,2021-07-23,,,55.78,,,,,,,31.01,77.85,,87.42,,,,,,88.25,,93.62,,,,,,,,,,,,,,
Belgium,BEL,2021-07-30,,,66.5,,,,,,,42.47,80.91,,90.45,,,,,,88.62,,94.19,,,,,,,,,,,,,,
Belgium,BEL,2021-08-06,,,73.11,,,,,,,54.63,83.27,,91.35,,,,,,88.87,,94.6,,,,,,,,,,,,,,
Belgium,BEL,2021-08-13,,,75.68,,,,,,,63.27,87.53,,92.09,,,,,,89.07,,94.91,,,,,,,,,,,,,,
Belgium,BEL,2021-08-20,,,76.76,,,,,,,68.37,88.02,,92.34,,,,,,89.19,,95.07,,,,,,,,,,,,,,
Belgium,BEL,2021-08-27,,,77.62,,,,,,,70.57,88.45,,92.57,,,,,,89.32,,95.24,,,,,,,,,,,,,,
Belgium,BEL,2021-09-03,,,78.33,,,,,,,71.87,88.76,,92.74,,,,,,89.4,,95.36,,,,,,,,,,,,,,
Belgium,BEL,2021-09-10,,,78.87,,,,,,,72.78,88.97,,92.85,,,,,,89.45,,95.44,,,,,,,,,,,,,,
Belgium,BEL,2021-09-17,,,79.41,,,,,,,73.66,89.17,,92.94,,,,,,89.5,,95.51,,,,,,,,,,,,,,
Belgium,BEL,2021-09-24,,,79.93,,,,,,,74.53,89.36,,93.05,,,,,,89.55,,95.58,,,,,,,,,,,,,,
Belgium,BEL,2021-10-01,,,80.42,,,,,,,75.38,89.53,,93.14,,,,,,89.59,,95.64,,,,,,,,,,,,,,
Belgium,BEL,2021-10-08,,,80.74,,,,,,,75.98,89.65,,93.21,,,,,,89.67,,95.7,,,,,,,,,,,,,,
Belgium,BEL,2021-10-15,,,81.1,,,,,,,76.66,89.79,,93.29,,,,,,89.76,,95.76,,,,,,,,,,,,,,
Belgium,BEL,2021-10-22,,,81.43,,,,,,,77.23,89.93,,93.37,,,,,,89.84,,95.82,,,,,,,,,,,,,,
Belgium,BEL,2021-10-29,,,81.78,,,,,,,77.85,90.06,,93.45,,,,,,89.9,,95.88,,,,,,,,,,,,,,
Belgium,BEL,2021-11-05,,,82.05,,,,,,,78.31,90.17,,93.52,,,,,,89.95,,95.93,,,,,,,,,,,,,,
Belgium,BEL,2021-11-12,,,82.31,,,,,,,78.77,90.28,,93.58,,,,,,89.99,,95.98,,,,,,,,,,,,,,
Belgium,BEL,2021-11-19,,,82.62,,,,,,,79.3,90.4,,93.66,,,,,,90.06,,96.03,,,,,,,,,,,,,,
Belgium,BEL,2021-11-26,,,82.9,,,,,,,79.73,90.5,,93.72,,,,,,90.11,,96.09,,,,,,,,,,,,,,
Belgium,BEL,2021-12-03,,,82.99,,,,,,,79.88,90.53,,93.75,,,,,,90.13,,96.1,,,,,,,,,,,,,,
Bulgaria,BGR,2021-01-08,,,0,,,,,,,0,0,,0,,,,,,0,,0,,,,,,,,,,,,,,
Bulgaria,BGR,2021-01-15,,,0,,,,,,,0,0,,0,,,,,,0,,0,,,,,,,,,,,,,,
Bulgaria,BGR,2021-01-22,,,0.06,,,,,,,0.01,0.17,,0.13,,,,,,0.01,,0.04,,,,,,,,,,,,,,
Bulgaria,BGR,2021-01-29,,,0.17,,,,,,,0.04,0.45,,0.38,,,,,,0.04,,0.12,,,,,,,,,,,,,,
Bulgaria,BGR,2021-02-05,,,0.23,,,,,,,0.05,0.59,,0.51,,,,,,0.05,,0.16,,,,,,,,,,,,,,
Bulgaria,BGR,2021-02-12,,,0.27,,,,,,,0.06,0.69,,0.61,,,,,,0.06,,0.2,,,,,,,,,,,,,,
Bulgaria,BGR,2021-02-19,,,0.35,,,,,,,0.07,0.88,,0.79,,,,,,0.12,,0.28,,,,,,,,,,,,,,
Bulgaria,BGR,2021-02-26,,,0.48,,,,,,,0.09,1.21,,1.07,,,,,,0.28,,0.4,,,,,,,,,,,,,,
Bulgaria,BGR,2021-03-05,,,0.66,,,,,,,0.11,1.66,,1.4,,,,,,0.39,,0.5,,,,,,,,,,,,,,
Bulgaria,BGR,2021-03-12,,,0.78,,,,,,,0.14,1.92,,1.61,,,,,,0.45,,0.59,,,,,,,,,,,,,,
Bulgaria,BGR,2021-03-19,,,0.96,,,,,,,0.2,2.25,,1.95,,,,,,0.56,,0.82,,,,,,,,,,,,,,
Bulgaria,BGR,2021-03-26,,,1.18,,,,,,,0.29,2.66,,2.42,,,,,,0.69,,1.15,,,,,,,,,,,,,,
Bulgaria,BGR,2021-04-02,,,1.37,,,,,,,0.36,2.97,,2.71,,,,,,0.83,,1.38,,,,,,,,,,,,,,
Bulgaria,BGR,2021-04-09,,,1.58,,,,,,,0.43,3.29,,2.98,,,,,,0.93,,1.56,,,,,,,,,,,,,,
Bulgaria,BGR,2021-04-16,,,1.83,,,,,,,0.52,3.68,,3.31,,,,,,1.08,,1.78,,,,,,,,,,,,,,
Bulgaria,BGR,2021-04-23,,,2.37,,,,,,,0.71,4.49,,4.11,,,,,,1.5,,2.47,,,,,,,,,,,,,,
Bulgaria,BGR,2021-04-30,,,3.02,,,,,,,0.95,5.54,,5.43,,,,,,2.38,,3.93,,,,,,,,,,,,,,
Bulgaria,BGR,2021-05-07,,,3.8,,,,,,,1.3,6.95,,7.56,,,,,,3.8,,6.39,,,,,,,,,,,,,,
Bulgaria,BGR,2021-05-14,,,5.07,,,,,,,1.83,9.14,,10.89,,,,,,6.39,,10.57,,,,,,,,,,,,,,
Bulgaria,BGR,2021-05-21,,,6.09,,,,,,,2.36,10.72,,13.15,,,,,,8.1,,13.36,,,,,,,,,,,,,,
Bulgaria,BGR,2021-05-28,,,6.86,,,,,,,2.88,11.73,,14.42,,,,,,8.96,,14.71,,,,,,,,,,,,,,
Bulgaria,BGR,2021-06-04,,,7.85,,,,,,,3.51,13.04,,16.26,,,,,,10.37,,16.94,,,,,,,,,,,,,,
